id,season_code,flag_holiday,flag_working,category_weather,feature_temp,feature_feel_temp,feature_humidity,feature_wind,demand,Year,Hour,Day_of_Week,Month
3065,2,0,0,1,0.64,0.5758,0.83,0.194,227,2012,8,0,5
3066,3,0,0,1,0.74,0.697,0.66,0.2239,770,2012,17,0,7
3067,1,0,0,1,0.4,0.4091,0.54,0.194,195,2011,18,0,2
3068,4,0,1,1,0.56,0.5303,0.83,0.1045,337,2012,18,5,10
3069,2,0,1,3,0.56,0.5303,0.6,,44,2012,1,1,6
3070,1,0,0,1,0.22,0.2273,0.69,0.1343,30,2011,1,0,12
3071,4,0,1,3,0.42,0.4242,0.94,,65,2011,15,3,12
3072,1,1,0,1,0.36,0.3333,0.43,0.2836,155,2011,16,1,12
3073,1,0,1,1,0.34,0.2879,0.39,0.4627,238,2011,13,3,12
3074,2,0,0,1,0.82,0.7879,0.56,0.2537,447,2011,14,0,6
3075,4,0,1,2,0.44,0.4394,0.54,0.2239,272,2011,20,5,10
3076,3,0,1,1,0.62,0.5909,0.73,0.1045,37,2012,3,3,8
3077,4,0,0,2,0.26,0.2879,0.93,0.0896,150,2012,8,0,12
3078,2,0,1,1,0.7,0.6515,0.65,,230,2011,22,2,6
3079,2,0,1,1,0.48,0.4697,0.82,0.0896,71,2012,5,4,6
3080,3,0,1,1,0.76,0.6818,0.48,0.1343,391,2012,14,4,8
3081,2,0,0,1,0.58,0.5455,0.23,0.1642,672,2012,13,0,4
3082,2,0,1,2,0.42,0.4242,0.54,0.2836,142,2011,21,2,3
3083,1,0,0,1,0.22,0.2121,0.51,0.2836,131,2011,10,0,1
3084,2,0,1,1,0.88,0.803,0.39,0.2836,649,2011,18,4,6
3085,2,0,1,1,0.5,0.4848,0.27,0.3881,842,2012,18,4,4
3086,1,0,0,1,0.36,0.3333,0.21,0.4179,339,2012,17,0,1
3087,4,0,1,1,0.34,0.3333,0.53,0.194,290,2012,10,5,11
3088,4,0,1,3,0.44,0.4394,0.94,0.0,108,2011,16,2,11
3089,3,0,1,1,0.9,0.7879,0.27,0.2537,733,2012,16,5,8
3090,2,0,1,1,0.34,0.3485,0.53,0.0896,28,2012,4,5,3
3091,2,0,1,1,0.66,0.6212,0.74,0.1343,897,2012,8,1,6
3092,4,0,1,2,0.38,0.3939,0.87,0.0896,34,2011,4,5,11
3093,3,0,1,2,0.62,0.6061,0.65,0.194,296,2012,10,1,9
3094,2,0,1,1,0.34,0.3333,0.71,0.1343,28,2012,4,2,4
3095,1,0,1,1,0.3,0.2879,0.49,0.2537,186,2012,12,4,1
3096,4,0,1,2,0.54,0.5152,0.88,0.3881,566,2011,8,3,10
3097,4,0,1,2,0.56,0.5303,0.64,,1081,2012,18,4,10
3098,2,0,1,2,0.52,0.5,0.83,0.2239,30,2012,3,1,6
3099,1,0,1,1,0.44,0.4394,0.82,0.0,912,2012,8,3,3
3100,2,0,1,3,0.54,0.5152,0.88,0.2239,234,2012,8,1,5
3101,1,0,0,2,0.46,0.4545,0.94,0.194,29,2011,4,0,1
3102,3,0,1,1,0.76,0.7121,0.58,0.194,396,2012,22,5,8
3103,4,0,0,1,0.56,0.5303,0.83,0.194,301,2012,8,6,10
3104,3,0,1,1,0.86,0.7424,0.26,0.2537,574,2012,12,5,8
3105,2,0,0,1,0.7,0.6364,0.34,0.2537,800,2012,17,0,6
3106,2,0,1,3,0.54,0.5152,,0.2537,104,2012,10,1,5
3107,3,0,1,2,0.62,0.5758,0.83,0.194,206,2012,22,5,7
3108,2,0,1,1,0.54,0.5152,,0.194,266,2012,23,5,5
3109,2,0,0,1,0.32,0.303,0.31,0.2537,238,2011,17,0,3
3110,1,0,1,1,0.4,0.4091,0.43,0.2836,298,2012,13,5,1
3111,1,0,1,2,0.34,0.3333,0.71,,159,2012,22,2,2
3112,3,0,0,2,0.52,0.5,0.72,,499,2011,15,6,9
3113,3,0,1,2,0.76,0.7273,0.7,0.1642,577,2011,8,2,7
3114,4,0,1,3,0.58,0.5455,0.83,0.1045,265,2012,6,2,10
3115,3,0,0,1,0.74,0.697,0.7,0.3881,590,2012,10,6,9
3116,4,0,1,1,0.42,0.4242,0.5,0.1343,40,2012,2,4,10
3117,1,0,0,1,0.52,0.5,0.34,0.4179,29,2011,4,6,3
3118,3,0,1,1,0.76,0.7273,0.66,0.2537,1181,2012,17,3,9
3119,1,0,1,2,0.24,0.2879,0.75,0.0,261,2011,17,2,2
3120,2,0,0,2,0.36,0.3485,0.71,0.1343,138,2012,7,0,4
3121,3,0,0,1,0.96,0.9091,0.36,0.1642,443,2012,14,0,7
3122,1,0,0,2,0.36,0.3333,0.4,0.3881,124,2012,23,6,2
3123,2,0,1,1,0.6,0.6212,0.56,0.2985,351,2011,21,2,6
3124,1,0,1,1,0.18,0.1667,0.4,0.2537,117,2011,13,3,2
3125,1,0,0,1,0.26,0.303,0.41,0.0,93,2011,21,6,2
3126,1,0,1,1,0.24,0.2273,0.44,0.194,48,2012,0,1,3
3127,2,0,1,1,0.34,0.303,0.46,0.3284,402,2011,17,5,4
3128,4,0,1,1,0.64,0.6212,0.61,,329,2012,11,3,9
3129,1,0,1,1,0.2,0.2273,0.82,0.1045,694,2012,8,3,1
3130,4,0,1,1,0.52,0.5,0.83,0.0896,190,2011,6,2,10
3131,2,0,1,2,0.5,0.4848,0.88,0.194,36,2012,3,3,3
3132,1,0,1,1,0.42,0.4242,,0.4179,321,2012,15,5,2
3133,1,0,1,2,0.26,0.303,0.52,0.0,29,2012,3,2,2
3134,1,0,1,2,0.2,0.2273,0.92,0.1045,108,2012,22,1,1
3135,3,0,0,1,0.72,0.697,0.74,0.2537,530,2011,13,0,8
3136,3,0,1,1,0.9,0.8182,0.37,0.1642,406,2011,18,5,7
3137,3,0,1,1,0.78,0.697,0.46,0.1045,255,2011,11,2,7
3138,2,0,1,2,0.6,0.5455,0.88,0.0896,61,2011,5,4,5
3139,4,0,0,1,0.46,0.4545,0.88,0.0,168,2011,8,0,10
3140,3,0,1,1,0.56,0.5303,0.64,0.1045,1057,2012,8,3,9
3141,3,0,0,1,0.8,0.7424,0.49,0.2985,657,2011,13,0,7
3142,3,0,1,2,0.7,0.6667,0.74,0.1343,463,2012,9,2,8
3143,1,0,1,2,0.16,0.1818,0.59,,71,2011,22,1,1
3144,4,0,1,1,0.26,0.2576,0.52,0.2239,103,2011,23,4,11
3145,4,0,1,1,0.62,0.6212,0.43,0.3284,312,2011,12,3,10
3146,2,0,0,1,0.42,0.4242,0.67,0.0896,534,2012,10,0,4
3147,1,1,0,1,0.32,0.303,0.45,0.2836,30,2011,6,1,12
3148,2,0,1,1,0.66,0.6212,0.36,0.2985,666,2012,20,4,6
3149,1,0,0,2,0.24,0.2879,0.6,0.0,101,2011,8,6,2
3150,4,0,1,2,0.36,0.3788,0.93,0.0,230,2012,6,2,12
3151,4,0,1,1,0.32,0.303,0.53,0.2239,605,2012,19,2,12
3152,3,0,0,1,0.82,0.7273,0.34,0.2537,741,2012,18,0,6
3153,3,0,1,1,0.54,0.5152,0.45,0.2985,38,2012,4,2,6
3154,2,0,1,2,0.54,0.5152,0.88,0.2537,302,2011,9,2,5
3155,2,0,0,1,0.66,0.6061,,0.194,148,2011,23,0,6
3156,4,0,0,2,0.32,0.3333,0.57,0.1045,219,2012,22,6,11
3157,3,1,0,1,0.74,0.697,0.66,0.1642,671,2012,18,1,9
3158,1,0,1,1,0.32,0.3333,0.66,0.0896,41,2011,5,4,2
3159,2,0,0,1,0.5,0.4848,0.72,0.0896,42,2012,4,0,6
3160,3,0,1,3,0.54,0.5152,0.94,0.2537,28,2011,2,2,9
3161,2,0,0,1,0.76,0.7273,,0.194,747,2012,13,6,5
3162,2,0,0,1,0.56,0.5303,0.52,0.2239,239,2011,9,0,5
3163,4,0,1,1,0.5,0.4848,0.39,0.2985,561,2012,9,5,10
3164,2,0,0,1,0.66,0.6212,0.65,0.2985,469,2011,17,0,4
3165,4,0,1,1,0.36,0.3485,0.4,0.1642,341,2012,12,4,11
3166,2,0,1,2,0.4,0.4091,0.5,0.4925,514,2011,8,4,4
3167,1,0,1,1,0.18,0.197,0.55,0.1343,81,2011,22,3,1
3168,1,0,1,1,0.26,0.2121,0.33,,210,2012,15,5,1
3169,4,0,0,1,0.28,0.2576,0.61,0.2836,225,2011,9,6,12
3170,2,0,1,1,0.22,0.2121,0.51,0.2836,343,2011,8,5,3
3171,4,0,1,1,0.38,0.3939,0.46,0.194,532,2011,17,1,12
3172,4,0,1,2,0.5,0.4848,0.55,0.1642,439,2011,7,1,10
3173,3,0,0,1,0.6,0.6061,0.64,,40,2011,4,0,6
3174,4,0,1,1,0.44,0.4394,0.54,0.2537,316,2012,14,1,11
3175,1,0,1,3,0.14,0.1212,0.86,0.2537,143,2011,19,3,2
3176,3,0,1,1,0.6,0.5606,0.83,0.1045,372,2011,7,5,9
3177,3,0,0,1,0.8,0.7727,0.59,0.1045,72,2012,3,0,7
3178,2,0,1,1,0.62,0.6061,0.69,0.0896,348,2012,21,1,5
3179,1,0,1,1,0.12,0.1212,0.3,0.2537,186,2011,18,5,1
3180,2,0,0,1,0.32,0.3182,0.33,0.1642,28,2012,5,6,4
3181,1,0,1,1,0.22,0.2121,0.41,0.2836,139,2012,10,1,1
3182,3,0,1,1,0.5,0.4848,0.72,0.1045,824,2012,7,2,9
3183,2,0,1,1,0.68,0.6364,0.65,0.3881,255,2011,11,2,4
3184,1,0,1,3,0.22,0.197,0.93,0.3284,89,2011,12,3,1
3185,2,0,0,1,0.5,0.4848,0.88,0.194,121,2011,2,0,4
3186,4,0,0,3,0.42,0.4242,0.58,0.1642,72,2012,7,0,10
3187,4,0,1,1,0.56,0.5303,0.88,0.0,76,2012,5,5,9
3188,4,0,0,1,0.24,0.2576,0.93,0.0896,46,2012,6,6,11
3189,2,0,0,1,0.72,0.6515,0.3,0.1045,925,2012,15,6,5
3190,2,0,1,2,0.64,0.6212,0.53,0.2537,351,2012,14,3,5
3191,2,0,1,1,0.7,0.6515,0.65,0.1343,367,2012,21,5,5
3192,3,0,1,1,0.66,0.6061,0.78,0.0,34,2011,2,3,6
3193,1,0,1,1,0.22,0.2121,0.69,0.2537,26,2011,4,2,3
3194,3,0,0,1,0.64,0.6212,0.53,0.0,60,2011,3,6,7
3195,3,0,1,1,0.66,0.6212,0.29,0.0896,465,2012,13,2,9
3196,4,0,1,2,0.44,0.4394,0.54,0.1343,260,2011,12,2,12
3197,3,0,1,1,0.72,0.6515,0.45,0.3881,321,2011,9,3,6
3198,3,0,1,1,0.66,0.5909,0.89,0.1343,52,2012,2,5,8
3199,1,0,1,2,0.18,0.2121,0.43,0.0896,56,2011,23,4,3
3200,1,0,1,2,0.2,0.197,0.4,0.2239,88,2011,14,1,1
3201,4,0,1,1,0.3,0.2879,0.33,,920,2012,8,4,11
3202,2,0,1,1,0.56,0.5303,0.56,0.1642,64,2012,1,5,6
3203,2,0,0,1,0.76,0.7121,0.58,0.194,692,2012,13,0,5
3204,3,0,1,1,0.68,0.6364,0.83,0.2239,712,2012,7,2,7
3205,3,0,0,1,0.7,0.6515,0.7,0.0,159,2012,23,0,7
3206,3,0,0,1,0.72,0.7121,0.84,0.0896,603,2012,19,6,7
3207,3,0,1,1,0.7,0.6515,0.48,0.194,344,2011,12,5,7
3208,3,0,0,1,0.82,0.7576,0.46,0.194,667,2012,17,6,7
3209,2,0,1,1,0.56,0.5303,0.52,0.2537,300,2012,10,4,5
3210,4,0,1,2,0.4,0.4091,0.58,0.1642,357,2012,13,4,11
3211,4,0,1,2,0.56,0.5303,,0.1045,452,2012,12,4,10
3212,2,0,1,2,0.56,0.5303,0.78,0.0,351,2012,15,3,3
3213,1,0,1,2,0.26,0.2576,0.6,0.1642,144,2012,20,1,12
3214,4,0,1,2,0.54,0.5152,0.83,0.1343,326,2012,10,4,10
3215,2,0,1,1,0.66,0.6212,0.74,0.2985,187,2011,10,1,5
3216,3,0,1,1,0.88,0.8485,0.47,0.1045,435,2011,17,5,7
3217,1,0,1,2,0.26,0.2424,0.7,0.2836,101,2011,10,4,2
3218,3,1,0,1,0.66,0.6212,0.74,0.1642,80,2011,7,1,9
3219,4,1,0,1,0.72,0.6515,0.37,0.0,514,2011,13,1,10
3220,4,0,1,1,0.58,0.5455,0.3,0.0,1228,2012,17,1,9
3221,2,0,1,1,0.4,0.4091,0.82,0.0,65,2012,5,4,4
3222,2,0,1,1,0.4,0.4091,0.47,0.3582,438,2012,9,2,4
3223,3,0,0,2,0.68,0.6364,,,411,2012,9,6,8
3224,4,0,1,2,0.46,0.4545,0.94,0.1045,32,2011,3,3,11
3225,3,0,0,1,0.68,0.6364,0.83,0.2985,67,2011,7,0,8
3226,4,0,1,3,0.48,0.4697,0.55,0.3881,191,2012,6,3,12
3227,1,0,1,2,0.26,0.2121,0.56,0.5224,184,2012,14,4,12
3228,1,1,0,2,0.34,0.303,0.42,0.3284,30,2011,2,1,2
3229,4,0,1,2,0.58,0.5455,0.94,0.3582,168,2011,22,3,10
3230,2,0,1,1,0.74,0.6818,0.55,0.1343,296,2011,13,3,5
3231,1,0,1,3,0.36,0.3485,0.87,0.194,239,2012,18,5,3
3232,2,0,1,1,0.86,0.803,,0.2985,381,2011,16,3,6
3233,2,0,1,1,0.34,0.3485,0.76,0.1045,119,2011,6,4,4
3234,4,0,1,1,0.38,0.3939,0.43,0.3582,580,2012,19,3,12
3235,3,0,0,1,0.7,0.6515,0.7,0.1045,92,2012,6,6,7
3236,1,1,0,3,0.18,0.1818,0.59,0.194,105,2011,19,1,1
3237,3,0,1,1,0.72,0.697,0.79,0.1642,318,2011,9,3,6
3238,3,0,1,2,0.82,0.7879,0.56,0.2836,221,2011,15,3,6
3239,4,0,1,1,0.38,0.3939,0.87,0.0,36,2012,3,1,12
3240,1,0,0,1,0.46,0.4545,0.55,0.4179,113,2012,22,0,1
3241,4,0,0,2,0.5,0.4848,0.68,0.2985,180,2012,2,0,10
3242,3,1,0,1,0.7,0.6515,0.61,0.1045,230,2012,8,3,7
3243,2,0,1,3,0.58,0.5455,0.73,0.1642,175,2011,6,4,6
3244,1,0,1,1,0.16,0.1364,0.37,0.2836,219,2011,9,4,3
3245,3,0,0,1,0.74,0.6818,,0.1045,494,2011,13,0,9
3246,3,0,1,1,0.66,0.6061,0.83,0.1343,36,2012,2,2,7
3247,1,0,1,1,0.22,0.2273,0.64,0.194,28,2011,3,1,1
3248,2,0,1,2,0.68,0.6364,,0.194,33,2012,2,2,6
3249,2,0,1,1,0.42,0.4242,0.44,0.2537,33,2012,4,5,4
3250,1,0,0,1,0.52,0.5,0.34,0.4179,28,2011,5,6,3
3251,1,0,1,1,0.46,0.4545,0.31,,188,2011,16,3,2
3252,1,0,1,1,0.34,0.2879,0.46,0.6567,85,2011,22,1,2
3253,1,0,1,2,0.18,0.2424,0.86,0.0,50,2012,0,1,1
3254,4,0,1,1,0.6,0.6212,0.31,0.2985,465,2012,13,1,9
3255,2,0,1,1,0.46,0.4545,0.28,0.3881,403,2012,20,2,4
3256,4,0,0,1,0.24,0.2121,0.87,0.3582,77,2011,19,6,10
3257,3,0,1,1,0.76,0.6818,0.48,0.1045,414,2012,13,4,8
3258,2,0,1,1,0.6,0.6212,0.43,0.194,491,2012,12,4,5
3259,2,0,1,2,0.54,0.5152,0.77,0.2239,170,2011,10,1,5
3260,2,0,0,2,0.68,0.6364,0.65,0.3881,749,2012,16,6,5
3261,3,0,1,2,0.64,0.5758,0.89,0.1045,163,2012,23,2,7
3262,3,0,1,1,0.7,0.6515,0.65,0.1343,28,2012,3,2,7
3263,4,0,0,2,0.6,0.5455,0.88,0.0896,418,2011,10,6,9
3264,1,0,1,1,0.42,0.4242,0.5,0.1642,100,2012,23,1,2
3265,4,0,1,1,0.24,0.2273,0.44,0.2239,38,2011,2,5,11
3266,4,0,1,1,0.34,0.3636,,0.0,60,2012,0,3,11
3267,1,0,1,1,0.46,0.4545,0.28,0.4179,135,2011,14,3,2
3268,2,0,1,1,0.62,0.5909,0.73,0.0896,258,2012,22,2,5
3269,3,0,1,1,0.72,0.6515,0.28,,841,2011,18,1,8
3270,3,1,0,2,0.66,0.6061,0.78,0.0896,41,2011,4,1,7
3271,3,0,1,1,0.64,0.5909,0.78,0.1642,30,2011,4,1,7
3272,4,0,1,2,0.46,0.4545,1.0,0.0896,234,2011,7,3,11
3273,2,0,1,1,0.4,0.4091,,0.1343,108,2011,23,3,4
3274,2,0,1,1,0.46,0.4545,0.88,0.2239,29,2012,3,4,5
3275,4,0,1,1,0.52,0.5,0.68,0.194,443,2012,12,2,12
3276,2,0,0,1,0.7,0.6515,0.54,0.0,584,2011,15,0,6
3277,1,0,1,1,0.28,0.2727,0.38,0.2239,97,2011,21,1,3
3278,1,0,0,2,0.4,0.4091,0.87,,71,2011,21,6,1
3279,3,0,1,1,0.8,0.7273,0.43,,608,2012,16,2,7
3280,4,0,1,1,0.34,0.3333,0.31,0.1343,779,2012,17,3,11
3281,2,0,0,1,0.68,0.6364,0.61,0.1343,391,2011,16,0,5
3282,2,0,0,3,0.54,0.5152,1.0,0.1642,85,2011,22,0,4
3283,1,0,1,2,0.32,0.3182,0.93,0.194,144,2012,6,2,1
3284,1,0,1,2,0.3,0.3333,0.7,0.0,52,2012,5,4,2
3285,1,0,0,1,0.44,0.4394,0.13,0.3881,48,2011,2,6,2
3286,3,0,1,2,0.74,0.6667,0.48,0.0,384,2012,10,5,7
3287,3,0,0,2,0.7,0.6515,,0.1045,270,2011,21,0,6
3288,4,0,1,1,0.3,0.2879,0.65,0.2836,38,2011,4,5,10
3289,2,0,1,1,0.74,0.6515,,0.4627,223,2011,14,3,4
3290,1,0,0,1,0.3,0.303,0.56,0.1642,130,2011,18,0,2
3291,2,0,0,2,0.7,0.6515,0.48,0.0896,345,2011,20,6,6
3292,3,0,1,1,0.74,0.6515,0.35,0.1642,373,2011,9,5,7
3293,3,0,1,2,0.64,0.5758,0.83,0.1343,211,2012,22,2,7
3294,4,0,1,2,0.3,0.2879,0.61,,891,2012,8,4,11
3295,4,0,1,1,0.26,0.2273,0.81,0.3582,34,2011,1,4,12
3296,4,0,1,1,0.6,0.5758,0.78,0.0896,112,2012,0,4,9
3297,4,0,1,1,0.24,0.2879,0.75,0.0,41,2012,2,5,11
3298,2,0,1,1,0.64,0.6212,0.38,0.0,427,2012,15,3,6
3299,4,0,1,1,0.58,0.5455,0.94,0.1343,57,2011,1,5,10
3300,3,0,0,1,0.78,0.7424,,0.2985,245,2011,21,0,7
3301,1,0,0,1,0.22,0.2273,0.51,0.1343,68,2011,23,6,2
3302,4,0,1,2,0.68,0.6364,0.79,0.0,272,2011,12,3,9
3303,2,0,1,1,0.64,0.6061,0.73,0.0896,612,2011,8,1,6
3304,1,0,1,2,0.16,0.2273,0.93,0.0,180,2011,9,2,2
3305,1,0,1,1,0.2,0.2121,0.55,,29,2011,4,4,12
3306,2,0,0,1,0.34,0.3182,0.49,0.2239,60,2012,3,6,4
3307,2,0,1,1,0.56,0.5303,0.21,0.2239,442,2012,14,2,4
3308,4,0,0,3,0.36,0.3485,0.93,0.1343,332,2012,17,0,12
3309,1,0,1,1,0.34,0.3636,0.53,,32,2012,1,3,2
3310,4,0,1,1,0.32,0.3485,0.87,0.0,29,2011,3,2,11
3311,4,0,1,2,0.54,0.5152,0.83,0.1045,344,2012,11,4,10
3312,1,0,1,2,0.34,0.3636,0.93,0.0,32,2011,5,1,2
3313,3,0,1,2,0.64,0.5758,0.89,0.4478,502,2012,7,2,9
3314,4,0,0,2,0.4,0.4091,0.87,0.1045,36,2012,5,0,12
3315,2,0,1,1,0.84,0.7576,0.44,0.1343,302,2011,12,5,6
3316,4,0,1,2,0.36,0.3485,1.0,0.1343,178,2011,6,4,11
3317,3,0,0,3,0.62,0.5758,,0.1642,53,2012,3,6,8
3318,1,0,0,2,0.26,0.2273,0.56,0.4179,63,2012,1,0,12
3319,4,0,0,1,0.28,0.3182,0.87,0.0,38,2012,5,6,11
3320,4,0,1,1,0.32,0.3333,0.7,0.1343,64,2012,0,2,11
3321,4,0,1,2,0.34,0.303,0.49,,180,2011,15,4,11
3322,1,0,1,2,0.3,0.3182,0.7,0.0896,112,2012,23,5,2
3323,2,0,1,1,0.4,0.4091,0.82,0.3284,121,2011,11,3,5
3324,4,0,1,1,0.28,0.2576,0.36,0.3881,592,2012,7,4,11
3325,3,0,1,1,0.86,0.7576,0.36,0.2537,1110,2012,17,4,8
3326,3,0,1,1,0.62,0.5909,0.73,0.0,48,2012,2,4,8
3327,1,0,1,1,0.3,0.2727,0.42,0.3881,178,2012,11,3,1
3328,4,0,1,3,0.62,0.5606,0.88,0.1045,983,2012,17,2,10
3329,1,0,1,2,0.56,0.5303,0.64,0.2985,73,2011,12,1,2
3330,1,0,1,1,0.24,0.2121,0.38,0.2985,105,2011,15,4,1
3331,2,0,1,1,0.6,0.6212,0.46,0.2239,192,2011,11,1,5
3332,4,0,1,1,0.28,0.3182,0.87,0.0,198,2011,22,5,12
3333,4,0,1,2,0.44,0.4394,0.54,0.1343,268,2011,13,2,12
3334,4,0,0,1,0.52,0.5,0.27,0.3284,335,2011,17,0,11
3335,3,0,1,1,0.64,0.6061,0.65,0.1343,928,2012,19,4,9
3336,1,0,0,2,0.3,0.2879,0.56,0.2537,389,2012,15,0,2
3337,4,0,1,1,0.26,0.2727,0.81,0.1045,407,2011,7,3,11
3338,4,0,1,1,0.46,0.4545,0.55,0.1642,278,2011,12,3,11
3339,2,0,1,1,0.54,0.5152,0.77,0.194,477,2012,20,4,4
3340,3,0,1,1,0.76,0.7273,0.66,0.1045,46,2012,1,3,7
3341,1,1,0,1,0.32,0.3333,0.76,0.0896,178,2012,12,2,12
3342,3,0,1,2,0.76,0.6818,0.48,0.1343,494,2012,15,5,8
3343,1,0,1,2,0.18,0.2121,0.86,0.1045,28,2012,2,1,1
3344,4,0,0,1,0.5,0.4848,0.77,0.0,273,2011,9,0,10
3345,1,0,0,1,0.36,0.3636,0.27,0.0896,250,2011,15,0,2
3346,2,0,1,1,0.74,0.697,0.7,0.2836,280,2011,21,3,6
3347,1,0,0,1,0.5,0.4848,0.31,0.3582,707,2012,16,0,3
3348,2,0,0,2,0.5,0.4848,0.72,0.0,381,2011,15,0,5
3349,3,0,1,1,0.78,0.7424,0.62,0.0,160,2011,10,4,7
3350,3,0,0,1,0.9,0.7879,0.29,,434,2011,14,6,7
3351,2,0,0,1,0.66,0.5909,0.89,0.1343,254,2011,22,0,5
3352,1,0,0,2,0.32,0.3485,0.66,0.0,46,2011,1,6,12
3353,1,0,1,3,0.2,0.2121,0.86,0.1343,389,2012,8,1,1
3354,4,0,1,1,0.5,0.4848,0.55,0.2537,178,2011,6,1,10
3355,1,0,1,2,0.16,0.1515,0.55,0.194,29,2011,2,2,1
3356,1,0,1,1,0.18,0.1667,0.43,0.2537,28,2011,2,4,2
3357,2,0,1,3,0.56,0.5303,0.88,0.1045,459,2012,7,2,5
3358,2,0,1,1,0.46,0.4545,0.41,0.2836,52,2011,0,4,4
3359,1,0,1,1,0.26,0.2879,0.75,0.0896,64,2012,5,3,2
3360,2,0,0,2,0.68,0.6364,0.47,0.4925,582,2012,18,6,4
3361,1,0,0,1,0.18,0.197,0.59,0.1642,104,2011,10,6,1
3362,1,1,0,2,0.18,0.1818,0.43,0.194,32,2011,6,1,1
3363,4,0,1,1,0.44,0.4394,0.67,0.5821,324,2011,9,4,10
3364,2,0,1,1,0.58,0.5455,0.53,0.3284,28,2011,3,2,6
3365,4,0,1,1,0.22,0.2273,0.44,0.1642,314,2011,7,5,11
3366,2,0,1,1,0.52,0.5,0.22,0.3881,951,2012,17,2,4
3367,3,0,0,1,0.72,0.6818,0.62,0.2537,328,2012,9,0,7
3368,4,0,0,1,0.32,0.3182,0.61,0.1642,391,2012,10,6,12
3369,1,0,1,1,0.72,0.6515,0.37,0.3881,596,2012,16,4,3
3370,3,0,0,2,0.7,0.6667,0.84,0.1343,68,2011,3,0,8
3371,4,1,0,1,0.24,0.2424,0.75,0.1343,155,2012,8,4,11
3372,3,0,1,1,0.62,0.5758,0.83,0.0,68,2012,0,1,8
3373,3,0,0,1,0.6,0.5909,0.73,0.2985,317,2012,8,6,9
3374,3,0,0,1,0.74,0.6818,0.58,0.1343,85,2011,7,0,7
3375,1,0,0,1,0.3,0.3182,0.52,0.0896,58,2011,19,6,12
3376,1,0,0,1,0.32,0.303,0.29,0.2537,238,2012,19,0,1
3377,4,0,1,3,0.4,0.4091,0.87,0.1343,130,2011,22,1,11
3378,1,0,1,1,0.34,0.3636,0.25,0.0,151,2011,16,3,2
3379,1,0,0,1,0.3,0.2879,0.42,,120,2012,22,0,2
3380,4,0,1,1,0.36,0.3636,0.4,0.1045,347,2012,14,2,11
3381,3,0,1,2,0.8,0.7576,0.55,,702,2012,18,5,6
3382,2,0,1,2,0.28,0.2727,1.0,0.194,26,2011,3,4,3
3383,2,0,1,1,0.24,0.2121,0.35,0.3582,410,2011,8,2,3
3384,1,0,1,1,0.32,0.3485,0.57,0.0,54,2012,0,3,2
3385,2,0,1,2,0.4,0.4091,0.66,0.1343,253,2011,9,4,4
3386,1,0,0,1,0.3,0.2879,0.52,0.2239,117,2012,19,0,2
3387,4,0,1,1,0.52,0.5,0.52,0.194,465,2012,9,1,9
3388,1,0,1,2,0.24,0.2576,0.65,0.0896,104,2012,23,5,12
3389,3,0,0,3,0.72,0.6667,0.54,0.3881,808,2012,12,6,8
3390,4,0,0,2,0.28,0.303,0.87,0.0896,146,2011,8,0,11
3391,1,0,1,2,0.1,0.1061,0.46,0.194,138,2012,12,3,1
3392,2,0,1,1,0.56,0.5303,0.78,0.1642,277,2011,15,4,5
3393,3,0,0,1,0.62,0.6061,0.69,0.194,41,2011,5,6,9
3394,2,0,0,2,0.66,0.6212,,0.194,757,2012,18,6,5
3395,3,0,1,1,0.72,0.6515,0.45,0.2239,690,2011,18,5,7
3396,2,0,0,1,0.62,0.5909,0.78,0.194,162,2011,8,6,5
3397,4,0,1,1,0.46,0.4545,0.67,0.2537,276,2011,9,2,10
3398,1,0,1,1,0.18,0.2121,0.8,0.1045,396,2012,9,1,2
3399,3,0,1,1,0.78,0.7424,0.62,0.2537,353,2011,21,2,7
3400,1,0,0,2,0.5,0.4848,0.77,0.0896,723,2012,14,0,3
3401,1,0,1,1,0.34,0.3333,0.46,0.1343,109,2011,21,1,3
3402,3,0,0,1,0.64,0.5758,0.89,0.194,83,2011,3,0,9
3403,3,0,1,1,0.7,0.6364,0.28,0.0,1325,2012,17,2,9
3404,2,0,1,3,0.62,0.6061,0.69,0.3284,120,2012,14,2,5
3405,4,0,1,1,0.2,0.2121,0.72,0.1045,438,2012,7,5,12
3406,1,0,0,1,0.24,0.2879,0.87,0.0,29,2011,6,0,2
3407,3,0,1,2,0.8,0.7424,0.52,0.1045,347,2012,13,1,7
3408,2,0,0,1,0.48,0.4697,0.59,0.0,135,2012,23,0,4
3409,2,0,1,1,0.42,0.4242,0.77,0.1642,56,2011,5,1,5
3410,1,0,1,2,0.28,0.303,0.75,,33,2012,3,4,1
3411,2,0,0,1,0.74,0.697,0.7,0.2985,529,2011,15,0,5
3412,4,0,0,1,0.5,0.4848,,0.1343,487,2012,19,6,10
3413,1,0,1,2,0.32,0.2879,0.76,0.3582,158,2011,13,3,3
3414,1,0,1,2,0.22,0.2576,0.6,0.0896,289,2012,9,1,3
3415,4,0,0,2,0.26,0.2727,0.65,0.1045,29,2011,4,6,12
3416,2,0,1,3,0.44,0.4394,0.94,0.1045,540,2012,7,4,5
3417,3,0,1,1,0.9,0.8182,0.35,0.3582,406,2012,15,5,6
3418,4,0,1,1,0.64,0.6061,0.65,0.194,195,2011,10,4,9
